Label	QID
male	Q6581097
female	Q6581072
intersex	Q1097630
transgender female	Q1052281
transgender male	Q2449503
non-binary	Q48270
fa'afafine	Q1399232
māhū	Q3277905
kathoey	Q746411
fakaleitī	Q350374
hijra	Q660882
male organism	Q44148
female organism	Q43445
androgyny	Q207959
two-spirit	Q301702
transmasculine	Q27679766
transfeminine	Q27679684
muxe	Q3177577
intersex organism	Q28873047
agender	Q505371
genderqueer	Q12964198
genderfluid	Q18116794
neutrois	Q1289754
eunuch	Q179294
pangender	Q7130936
cogenitor	Q64017034
neutral sex	Q52261234
hermaphroditism	Q16674976
cisgender female	Q15145779
cisgender male	Q15145778
third gender	Q48279
X-gender	Q96000630
demiboy	Q93954933
demigirl	Q93955709
bigender	Q859614
transgender person	Q189125
travesti	Q17148251
akava'ine	Q4700377
assigned female at birth	Q56315990
assigned male at birth	Q25388691
